*HD111721h
*
*  Heap STIS not version 2
set .z.units = "Ergs/s/cm**2/A"
set .z.label = "Flux"
set .table.bandwidth = 2.74
*
     3561.02    1.16059E-12
     3563.76    1.11573E-12
     3566.50    1.01137E-12
     3569.24    9.45022E-13
     3571.98    9.58923E-13
     3574.72    1.02038E-12
     3577.46    1.03939E-12
     3580.20    9.88617E-13
     3582.94    9.24420E-13
     3585.68    9.26269E-13
     3588.42    9.10167E-13
     3591.16    1.02597E-12
     3593.90    1.13115E-12
     3596.64    1.17412E-12
     3599.38    1.21619E-12
     3602.12    1.16719E-12
     3604.86    1.09043E-12
     3607.60    1.06495E-12
     3610.34    1.02063E-12
     3613.08    1.04314E-12
     3615.82    1.07589E-12
     3618.56    1.03276E-12
     3621.30    1.01801E-12
     3624.04    1.14799E-12
     3626.78    1.20435E-12
     3629.52    1.16413E-12
     3632.26    1.02998E-12
     3635.00    1.00727E-12
     3637.74    1.08755E-12
     3640.48    1.17543E-12
     3643.22    1.13943E-12
     3645.96    1.06014E-12
     3648.70    1.06793E-12
     3651.44    1.12764E-12
     3654.18    1.20577E-12
     3656.92    1.25297E-12
     3659.66    1.27807E-12
     3662.40    1.25102E-12
     3665.14    1.23822E-12
     3667.88    1.22243E-12
     3670.62    1.19429E-12
     3673.36    1.24291E-12
     3676.10    1.24787E-12
     3678.84    1.18191E-12
     3681.58    1.15221E-12
     3684.32    1.18897E-12
     3687.06    1.16582E-12
     3689.80    1.19341E-12
     3692.54    1.27448E-12
     3695.28    1.28470E-12
     3698.02    1.32161E-12
     3700.76    1.36929E-12
     3703.50    1.29192E-12
     3706.24    1.12257E-12
     3708.98    1.14237E-12
     3711.72    1.23258E-12
     3714.46    1.37103E-12
     3717.20    1.38881E-12
     3719.94    1.18550E-12
     3722.68    1.05166E-12
     3725.42    1.22772E-12
     3728.16    1.32158E-12
     3730.90    1.27033E-12
     3733.64    1.08650E-12
     3736.38    9.57312E-13
     3739.12    1.12399E-12
     3741.86    1.29609E-12
     3744.60    1.21296E-12
     3747.34    1.05252E-12
     3750.08    1.01879E-12
     3752.82    1.21234E-12
     3755.56    1.39172E-12
     3758.30    1.31280E-12
     3761.04    1.23586E-12
     3763.78    1.35111E-12
     3766.52    1.36958E-12
     3769.26    1.31943E-12
     3772.00    1.34724E-12
     3774.74    1.44962E-12
     3777.48    1.49087E-12
     3780.22    1.55488E-12
     3782.96    1.60647E-12
     3785.70    1.55414E-12
     3788.44    1.41917E-12
     3791.18    1.39151E-12
     3793.92    1.38103E-12
     3796.66    1.27033E-12
     3799.40    1.25816E-12
     3802.14    1.46072E-12
     3804.88    1.59284E-12
     3807.62    1.55596E-12
     3810.36    1.56089E-12
     3813.10    1.50864E-12
     3815.84    1.36709E-12
     3818.58    1.34614E-12
     3821.32    1.28774E-12
     3824.06    1.27506E-12
     3826.80    1.16773E-12
     3829.54    1.16329E-12
     3832.28    1.11045E-12
     3835.02    1.01881E-12
     3837.76    1.05612E-12
     3840.50    1.14292E-12
     3843.24    1.34686E-12
     3845.98    1.49243E-12
     3848.72    1.50881E-12
     3851.46    1.49275E-12
     3854.20    1.50606E-12
     3856.94    1.42141E-12
     3859.68    1.33032E-12
     3862.42    1.41058E-12
     3865.16    1.55767E-12
     3867.90    1.54356E-12
     3870.64    1.44432E-12
     3873.38    1.28400E-12
     3876.12    1.34011E-12
     3878.86    1.34207E-12
     3881.60    1.39048E-12
     3884.34    1.33676E-12
     3887.08    1.22764E-12
     3889.82    1.19775E-12
     3892.56    1.31097E-12
     3895.30    1.35847E-12
     3898.04    1.39288E-12
     3900.78    1.39794E-12
     3903.52    1.37606E-12
     3906.26    1.34386E-12
     3909.00    1.41047E-12
     3911.74    1.48094E-12
     3914.48    1.47021E-12
     3917.22    1.41162E-12
     3919.96    1.32106E-12
     3922.70    1.22732E-12
     3925.44    1.14865E-12
     3928.18    8.69705E-13
     3930.92    5.29907E-13
     3933.66    3.47187E-13
     3936.40    4.30555E-13
     3939.14    7.27210E-13
     3941.88    1.00696E-12
     3944.62    1.16648E-12
     3947.36    1.30962E-12
     3950.10    1.37301E-12
     3952.84    1.43489E-12
     3955.58    1.45056E-12
     3958.32    1.40799E-12
     3961.06    1.28957E-12
     3963.80    9.55486E-13
     3966.54    6.21935E-13
     3969.28    4.39818E-13
     3972.02    6.56960E-13
     3974.76    1.04575E-12
     3977.50    1.37157E-12
     3980.24    1.54905E-12
     3982.98    1.58704E-12
     3985.72    1.64101E-12
     3988.46    1.74356E-12
     3991.20    1.74467E-12
     3993.94    1.76035E-12
     3996.68    1.70061E-12
     3999.42    1.71052E-12
     4002.16    1.76215E-12
     4004.90    1.75692E-12
     4007.64    1.71888E-12
     4010.38    1.82519E-12
     4013.12    1.85502E-12
     4015.86    1.84711E-12
     4018.60    1.83253E-12
     4021.34    1.84530E-12
     4024.08    1.83586E-12
     4026.82    1.87047E-12
     4029.56    1.84397E-12
     4032.30    1.75083E-12
     4035.04    1.77702E-12
     4037.78    1.89316E-12
     4040.52    1.90739E-12
     4043.26    1.83814E-12
     4046.00    1.71751E-12
     4048.74    1.83905E-12
     4051.48    1.88883E-12
     4054.22    1.87364E-12
     4056.96    1.84365E-12
     4059.70    1.85914E-12
     4062.44    1.84543E-12
     4065.18    1.77178E-12
     4067.92    1.83374E-12
     4070.66    1.88715E-12
     4073.40    1.82119E-12
     4076.14    1.78879E-12
     4078.88    1.72641E-12
     4081.62    1.87022E-12
     4084.36    1.87691E-12
     4087.10    1.92756E-12
     4089.84    2.02322E-12
     4092.58    1.99091E-12
     4095.32    1.93569E-12
     4098.06    1.82764E-12
     4100.80    1.67218E-12
     4103.54    1.64368E-12
     4106.28    1.84818E-12
     4109.02    1.90901E-12
     4111.76    1.92166E-12
     4114.50    1.98637E-12
     4117.24    2.00016E-12
     4119.98    1.92566E-12
     4122.72    1.92076E-12
     4125.46    1.94055E-12
     4128.20    1.91185E-12
     4130.94    1.89513E-12
     4133.68    1.84701E-12
     4136.42    1.94298E-12
     4139.16    2.01503E-12
     4141.90    1.94558E-12
     4144.64    1.86686E-12
     4147.38    1.96271E-12
     4150.12    1.93203E-12
     4152.86    1.92548E-12
     4155.60    1.89250E-12
     4158.34    1.95496E-12
     4161.08    2.01479E-12
     4163.82    2.02216E-12
     4166.56    2.02067E-12
     4169.30    1.97384E-12
     4172.04    1.85350E-12
     4174.78    1.82339E-12
     4177.52    1.87168E-12
     4180.26    1.94353E-12
     4183.00    1.92129E-12
     4185.74    1.91285E-12
     4188.48    1.88959E-12
     4191.22    1.93565E-12
     4193.96    1.96403E-12
     4196.70    1.90493E-12
     4199.44    1.84399E-12
     4202.18    1.84864E-12
     4204.92    1.87277E-12
     4207.66    1.93070E-12
     4210.40    1.97610E-12
     4213.14    1.97759E-12
     4215.88    1.90587E-12
     4218.62    1.91096E-12
     4221.36    1.95641E-12
     4224.10    1.82620E-12
     4226.84    1.64469E-12
     4229.58    1.83758E-12
     4232.32    1.93923E-12
     4235.06    1.89375E-12
     4237.80    1.83512E-12
     4240.54    1.88172E-12
     4243.28    1.89703E-12
     4246.02    1.89272E-12
     4248.76    1.80222E-12
     4251.50    1.84900E-12
     4254.24    1.87147E-12
     4256.98    1.88763E-12
     4259.72    1.82313E-12
     4262.46    1.84044E-12
     4265.20    1.93520E-12
     4267.94    1.87540E-12
     4270.68    1.76587E-12
     4273.42    1.70606E-12
     4276.16    1.78160E-12
     4278.90    1.83721E-12
     4281.64    1.77980E-12
     4284.38    1.77635E-12
     4287.12    1.67898E-12
     4289.86    1.62974E-12
     4292.60    1.72314E-12
     4295.34    1.65887E-12
     4298.08    1.45830E-12
     4300.82    1.29658E-12
     4303.56    1.27811E-12
     4306.30    1.29453E-12
     4309.04    1.22569E-12
     4311.78    1.32125E-12
     4314.52    1.64504E-12
     4317.26    1.99982E-12
     4320.00    2.03222E-12
     4322.74    1.83224E-12
     4325.48    1.69343E-12
     4328.22    1.91628E-12
     4330.96    2.01858E-12
     4333.70    2.03584E-12
     4336.44    1.94152E-12
     4339.18    1.69087E-12
     4341.92    1.69664E-12
     4344.66    1.92796E-12
     4347.40    2.00803E-12
     4350.14    1.98429E-12
     4352.88    1.87760E-12
     4355.62    1.92854E-12
     4358.36    1.96190E-12
     4361.10    2.01678E-12
     4363.84    2.03686E-12
     4366.58    2.02464E-12
     4369.32    1.97280E-12
     4372.06    1.98120E-12
     4374.80    1.88318E-12
     4377.54    1.92763E-12
     4380.28    1.96770E-12
     4383.02    1.80285E-12
     4385.76    1.78585E-12
     4388.50    1.89867E-12
     4391.24    1.93182E-12
     4393.98    1.96225E-12
     4396.72    1.98271E-12
     4399.46    1.98946E-12
     4402.20    1.99748E-12
     4404.94    1.96114E-12
     4407.68    1.98724E-12
     4410.42    2.07246E-12
     4413.16    2.13895E-12
     4415.90    2.06110E-12
     4418.64    2.11580E-12
     4421.38    2.17575E-12
     4424.12    2.16588E-12
     4426.86    2.14291E-12
     4429.60    2.14576E-12
     4432.34    2.14401E-12
     4435.08    2.09106E-12
     4437.82    2.17520E-12
     4440.56    2.17509E-12
     4443.30    2.08043E-12
     4446.04    2.14607E-12
     4448.78    2.17424E-12
     4451.52    2.16912E-12
     4454.26    2.09839E-12
     4457.00    2.07215E-12
     4459.74    2.09620E-12
     4462.48    2.12431E-12
     4465.22    2.15667E-12
     4467.96    2.15485E-12
     4470.70    2.15887E-12
     4473.44    2.26454E-12
     4476.18    2.26676E-12
     4478.92    2.25083E-12
     4481.66    2.18036E-12
     4484.40    2.23065E-12
     4487.14    2.25096E-12
     4489.88    2.21424E-12
