name,objID,ra,dec,type,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z
10000235,587729777984208953,221.44332742,-1.62542668,STAR,18.657839,0.021966,17.702463,0.022873,17.362839,0.01817,17.229733,0.01965,17.204641,0.020196
10000063,587725041164419136,177.21795812,-1.98972293,STAR,18.456106,0.0335,17.555187,0.030379,17.279003,0.016625,17.110361,0.020808,17.057026,0.032236
10000118,587729779053953038,212.26859268,-1.16201245,STAR,17.417566,0.028697,16.532593,0.018277,16.215141,0.02306,16.094822,0.023356,16.025433,0.015894
10000087,588848900447862883,176.22230709,0.37629928,STAR,18.442135,0.022432,17.530262,0.019217,17.251591,0.019261,17.156717,0.012833,17.132418,0.023137
10000526,588848900986306653,179.82377761,0.66654953,STAR,18.023731,0.018959,17.117596,6.950373E-3,16.832169,0.013282,16.746983,0.014501,16.720602,0.013988
10000039,588848899377791033,184.54066733,-0.44255429,STAR,16.884859,0.01345,16.02632,0.013774,15.679237,0.013492,15.547037,0.013466,15.508664,0.020802
10000050,588848900987486241,182.40121286,0.76675299,STAR,18.353401,0.021071,17.499229,0.014525,17.202518,0.019397,17.048502,0.014452,17.004477,0.01925
10000797,587722983367573534,218.5030613,0.13096032,STAR,16.959703,0.023297,15.989685,0.016574,15.672715,0.01406,15.589015,0.023604,15.574604,0.023247
10000118,587729779053953038,212.26859268,-1.16201245,STAR,17.417566,0.028697,16.532593,0.018277,16.215141,0.02306,16.094822,0.023356,16.025433,0.015894
10000121,587729778521473108,222.38165737,-1.16778768,STAR,18.593788,0.019737,17.634823,0.014958,17.308239,0.011798,17.180267,0.015306,17.139769,0.015163
10000005,587725074450809022,129.23137801,-0.30196315,STAR,17.602734,0.013841,16.644276,0.015567,16.345369,8.919357E-3,16.24551,0.010637,16.219137,0.015718
10000165,588848899928883316,217.0691653,-0.17523805,STAR,18.031841,0.016776,17.083162,0.01545,16.779938,0.014858,16.667482,0.017773,16.628389,0.021225
