name,objID,ra,dec,type,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z
10000331,1237651753989242940,131.80538562572,1.58889747505375,STAR,18.12016,0.02015829,17.16391,0.01695435,16.79926,0.01129458,16.66832,0.01745376,16.6441,0.01800222
10000404,1237653664715898994,136.105250149169,1.57652254943425,STAR,17.51225,0.01714451,16.47548,0.02147097,16.122,0.01756336,15.99441,0.01202701,15.97137,0.01315485
10000414,1237654604779290703,138.194154480055,2.86849281367619,STAR,18.48072,0.02419155,17.54596,0.01737752,17.287,0.0123083,17.1911,0.0146675,17.19269,0.02142176
10000508,1237648721231478853,181.734118775364,-0.0448169901282787,STAR,18.07512,0.01355018,17.1638,0.01595253,16.89386,0.01792314,16.79577,0.01473418,16.76918,0.01751487
10000318,1237650796749783092,129.907514406571,0.565619081860649,STAR,17.96752,0.02054931,17.01855,0.0140159,16.63655,0.01163157,16.50345,0.01341031,16.46633,0.01920936
10000040,1237648721228726280,175.35546958947,-0.0736487123997964,STAR,18.13072,0.01505385,17.25417,0.01829372,16.9271,0.0139736,16.79888,0.01744896,16.73902,0.02272545
10000490,1237648720693952534,180.209822473734,-0.433870365955342,STAR,18.51025,0.01932227,17.58576,0.01937045,17.30756,0.01597847,17.19174,0.01441038,17.12226,0.02419961
10000029,1237648720671736093,129.518480148707,-0.527804353929201,STAR,17.72573,0.01401647,16.81651,0.01900848,16.47709,0.01135937,16.32917,0.01107774,16.28288,0.02452567
