name,objID,ra,dec,type,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z
10000448,1237648721208606853,129.433849265055,-0.142314687507412,STAR,17.96229,0.01843495,17.00626,0.01660285,16.70247,0.01290432,16.61183,0.01554995,16.57649,0.02399753
10001781,1237673709332529210,139.388458097344,2.24541355415791,STAR,18.96357,0.0288619,18.07538,0.01541441,17.72391,0.01421948,17.61287,0.02279962,17.61723,0.02202405
10001246,1237650796749521172,129.398508460887,0.550669699753331,STAR,18.77062,0.02160893,17.80083,0.009640857,17.4872,0.0103755,17.3503,0.009509456,17.33146,0.01698818
10000010,1237651753453355145,134.111515958595,1.28804553232669,STAR,17.47874,0.02087097,16.58064,0.015131,16.20704,0.01249948,16.06774,0.01753853,16.041,0.0238339
10000153,1237648705666482258,219.168187563649,0.86518123933968,STAR,17.28011,0.02144428,16.36633,0.01665713,15.99743,0.01701652,15.84949,0.01959213,15.77057,0.02116751
