#name,objID,ra,dec,type,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z
10000596,1237651752400060447,180.758570847397,1.29580029217414,STAR,18.0111,0.0397446,17.08594,0.01824006,16.74667,0.01271068,16.64679,0.01745391,16.58165,0.02325455
10000755,1237648703520112737,221.70698351752,-0.708984729606209,STAR,18.44696,0.02731394,17.43121,0.01646646,17.03553,0.0145759,16.90016,0.01714068,16.88817,0.01580097
10000044,1237648721765990480,176.37272923151,0.367264457789911,STAR,18.21887,0.02297262,17.31665,0.01943872,17.00611,0.01442003,16.8878,0.01732447,16.83437,0.02464846
10000176,1237648722320556156,216.761439411376,0.64619927837853,STAR,16.78928,0.01919933,15.88076,0.01726381,15.60075,0.01741741,15.49997,0.01455104,15.4791,0.01461114
10000075,1237651752397176875,174.24545588907,1.34454435093224,STAR,18.47388,0.02461709,17.61719,0.02711233,17.28366,0.01406106,17.15926,0.02242377,17.13331,0.01763409
10000177,1237648722321145870,218.016211213578,0.793398653574306,STAR,18.54399,0.01793884,17.60703,0.01081796,17.30836,0.01164952,17.18439,0.01376379,17.15806,0.02610382
10000482,1237648720157409427,180.975963126954,-0.881667202714717,STAR,18.10721,0.01490281,17.18054,0.01819836,16.90179,0.01158647,16.80777,0.01356761,16.77695,0.01595467
10000070,1237650762929799243,185.495465831058,-1.63831813054776,STAR,18.30137,0.0225114,17.485,0.01650279,17.20135,0.01189869,17.10124,0.01166929,17.06785,0.01617384
