name,objID,ra,dec,type,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z
10001283,587727944565391436,137.57893637,2.4424317,STAR,19.021759,0.024001,18.005997,0.01485,17.606003,0.021877,17.480761,0.018499,17.422209,0.036726
10000722,588848901525798984,185.81298965,1.21445081,STAR,17.84926,0.022052,16.892141,0.01614,16.622477,0.012087,16.55295,0.011475,16.485943,0.016211
10000333,587726032764796963,132.80434877,1.63634585,STAR,18.537815,0.024715,17.539227,0.016193,17.151337,0.013061,17.052212,0.015545,16.995083,0.018208
