name,objID,ra,dec,type,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z
10000190,587726014548869193,218.44629157,1.54404534,STAR,18.414701,0.026843,17.48773,0.016678,17.176741,0.019662,17.062891,0.016122,17.035114,0.019634
10000083,587748928702644299,177.38529534,-0.22800286,STAR,17.568407,0.015772,16.652319,0.028356,16.363016,0.015683,16.245745,0.018562,16.202412,0.018162
10000463,587722982278496334,183.57335987,-0.74004669,STAR,16.969479,0.022527,16.054985,0.030135,15.808992,0.021737,15.765224,0.019058,15.746625,0.019972
10000272,587722984438431853,212.03346475,0.97902511,STAR,17.38644,0.017723,16.46871,0.014937,16.121393,0.016943,16.028362,0.012448,16.00411,0.021349
10000262,587729971787857958,219.34395253,-1.61178147,STAR,17.999409,0.020097,17.086565,0.016607,16.800293,0.015616,16.674448,0.016615,16.645393,0.023756
10000047,588848900451008577,183.38481085,0.33489281,STAR,17.003487,0.015085,16.097523,0.014704,15.827901,0.013571,15.727025,0.01457,15.714648,0.025794
10000618,587724650329210915,176.39603078,-1.71937953,STAR,18.518614,0.025618,17.504576,0.021469,17.169102,0.012677,17.028175,0.011345,16.972273,0.021493
