name,objID,ra,dec,type,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z
10000498,1237648720695984272,184.910608677852,-0.53488311497805,STAR,17.59055,0.02588276,16.59992,0.01436809,16.28477,0.01142034,16.15543,0.01172645,16.15962,0.01852517
10000888,1237648721246289982,215.494799944773,-0.0659510628771242,STAR,17.87769,0.02753422,16.92223,0.01372253,16.60018,0.01298688,16.47174,0.01968519,16.42077,0.01703992
10000052,1237648722839011389,174.741802290658,1.0921871780759,STAR,17.84202,0.01521354,16.9325,0.01553154,16.63053,0.01021149,16.52356,0.0170089,16.53429,0.01759592
10000045,1237648721767694405,180.175875086384,0.310254843461201,STAR,18.48165,0.01630148,17.58592,0.01933952,17.3004,0.01399054,17.20918,0.01657917,17.16871,0.01816587
10000471,1237648705114144814,183.847639452512,0.569968351333317,STAR,17.86375,0.0188395,16.9219,0.01595823,16.70967,0.0254924,16.57992,0.02112182,16.59918,0.02039705
10000870,1237648720708501528,213.422909960112,-0.440880091712276,STAR,18.64091,0.02091114,17.64682,0.01366981,17.30693,0.02041142,17.14629,0.02265406,17.15182,0.01924067
10001370,1237671129124700181,174.735927320261,-1.78163737539554,STAR,18.59704,0.01837741,17.65657,0.01716024,17.38654,0.01464497,17.28568,0.01301493,17.26269,0.01902805
