name,objID,ra,dec,type,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z
10000371,1237648720675209396,137.454169897661,-0.56967408590847,STAR,17.50741,0.02035141,16.5049,0.0185955,16.13937,0.01943748,15.98237,0.01698391,15.94709,0.01625519
10000061,1237650372091838582,178.443393279435,-1.3238327729226,STAR,18.47383,0.02021539,17.56308,0.01760761,17.24221,0.01729458,17.11066,0.01962277,17.07065,0.016762
10000148,1237648705130463331,221.163280194354,0.483958439557231,STAR,17.88378,0.01652846,16.958,0.01575347,16.64027,0.01088561,16.53631,0.01192113,16.50681,0.02237454
10000035,1237648720158130208,182.556296819834,-1.02147906833204,STAR,17.65207,0.019425,16.75946,0.01806111,16.43254,0.009703194,16.31625,0.01256595,16.29371,0.01922226
10000126,1237648703519195145,219.549257924625,-0.757294505614707,STAR,17.98441,0.02107876,17.09072,0.01985145,16.76453,0.0145582,16.64598,0.01616673,16.64744,0.01640449
10000305,1237650795139563587,130.812129284499,-0.700868292500039,STAR,17.27258,0.0166113,16.26468,0.01212732,15.95033,0.01997006,15.80915,0.01931804,15.73418,0.01333502
10000615,1237671126978068510,177.21310036802,-0.927763183894804,STAR,17.6053,0.01918579,16.63215,0.02589174,16.23819,0.01215427,16.09751,0.01307676,16.07139,0.01664049
10000147,1237648705130201325,220.573652376511,0.518956615778669,STAR,17.74509,0.01929219,16.83403,0.01346013,16.51982,0.01654058,16.44041,0.01930974,16.39595,0.01405288
10000155,1237648705667858496,222.293814566107,0.951750814760407,STAR,18.54947,0.0193748,17.67102,0.01257135,17.34742,0.01783941,17.22047,0.01389393,17.17688,0.01801028
10001362,1237651752936407080,179.652324456581,1.74417559055342,STAR,18.52035,0.03082526,17.64841,0.0187941,17.33285,0.01624737,17.19858,0.01632673,17.16834,0.02218566
10000158,1237648720173858902,218.599856219723,-0.862055100033483,STAR,18.39846,0.01886042,17.47137,0.0147928,17.16905,0.01060929,17.03488,0.01421292,17.02487,0.01680787
10000082,1237671139869917338,176.695908067899,-1.44427517308704,STAR,17.81287,0.01681935,16.96181,0.02666938,16.68801,0.01354988,16.61979,0.02776724,16.60037,0.01913529
10000256,1237655693010403440,213.96327897298,-1.76701010184473,STAR,17.65542,0.02085653,16.72032,0.01498516,16.3944,0.01314718,16.2707,0.01302045,16.26019,0.01606258
10000077,1237651752938307642,184.011742162466,1.70130506559868,STAR,18.40774,0.02036596,17.51098,0.01939433,17.18535,0.02615591,17.09735,0.01603721,17.02275,0.01889347
