name,objID,ra,dec,type,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z
10000084,588848899374317658,176.65414056,-0.48545982,STAR,18.366646,0.017235,17.489639,0.017866,17.112711,0.018556,17.003273,0.01629,16.931269,0.014783
10000191,587726014550114454,221.32254308,1.58122631,STAR,18.050011,0.024941,17.177006,0.020086,16.878004,0.017433,16.780647,0.018436,16.75642,0.024234
10000426,587726031692300405,135.77098763,0.93249419,STAR,18.526285,0.023503,17.612082,0.020733,17.214653,0.023648,17.062231,0.017582,17.034967,0.018531
10000207,587726031730114683,222.13616297,1.2174262,STAR,18.184593,0.0198,17.284462,0.021914,16.948713,0.015495,16.802416,0.014306,16.743805,0.016189
10000232,587729777982636145,217.92651311,-1.74320079,STAR,18.10058,0.020334,17.213408,0.020321,16.902645,0.012942,16.776983,0.017241,16.739378,0.02261
10001748,588848900967497907,136.81230443,0.7179699,STAR,19.046825,0.035247,18.078281,0.010988,17.782116,0.013972,17.676537,0.014459,17.653389,0.020142
10000004,587725074450808866,129.1432023,-0.21413983,STAR,18.174505,0.015589,17.259056,0.015688,16.963062,9.131152E-3,16.813345,0.010834,16.791267,0.016855
10000311,587725074453430458,135.24300399,-0.29196286,STAR,17.637047,0.015741,16.617737,0.010502,16.313629,9.57144E-3,16.215622,0.013088,16.225605,0.015182
