name,objID,ra,dec,type,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z
10000027,1237674460952199363,140.098132524692,2.81870615965145,STAR,18.16972,0.02041301,17.30458,0.01420975,17.03074,0.01587419,16.93435,0.01783857,16.92426,0.01972782
10001250,1237651753989112056,131.580744995114,1.65798261733514,STAR,18.76841,0.02434421,17.7923,0.01631208,17.38954,0.01561841,17.28874,0.01804635,17.19304,0.02678216
10000355,1237653665789116422,134.802066869879,2.44161863505194,STAR,18.51787,0.01905749,17.50224,0.01611948,17.12082,0.01775461,17.02597,0.01577255,17.00846,0.01493705
10001747,1237648721749409932,138.464181692201,0.378138401808782,STAR,18.95567,0.02429404,17.96281,0.01738314,17.65301,0.01233853,17.51904,0.0120106,17.48871,0.02267327
