name,objID,ra,dec,type,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z
10000882,1237648720712368177,222.258374626337,-0.618586115108507,STAR,18.28719,0.016883,17.30779,0.0166712,16.98762,0.01626329,16.85462,0.01475897,16.81223,0.01633167
10001730,1237654601555312788,131.535245279836,2.98620524282228,STAR,18.81031,0.02274333,17.89831,0.01401524,17.65695,0.01846666,17.56153,0.01504109,17.53522,0.01916791
10000001,1237648722819809361,130.809525907304,1.13334593157742,STAR,18.42067,0.01910763,17.51382,0.01424103,17.22297,0.01215634,17.12061,0.01742419,17.0964,0.01918263
10000032,1237648721746001984,130.597895040255,0.371682812830001,STAR,17.25552,0.01536381,16.33895,0.01460681,16.01016,0.01232926,15.86974,0.01690157,15.79063,0.02305506
10000417,1237673708794871842,138.10917958569,0.848143408592943,STAR,18.098,0.02228149,17.20872,0.01817511,16.93476,0.01661909,16.83927,0.01536116,16.8844,0.01836814
