name,objID,ra,dec,type,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z
10000622,587724650328883326,175.75088006,-1.80039154,STAR,18.310631,0.020485,17.263266,0.015411,16.945004,0.01621,16.84009,0.014175,16.810266,0.018137
10000352,587728879256535077,131.24287043,2.2579089,STAR,17.09951,0.014521,16.098661,0.011288,15.722355,0.014355,15.576684,0.011538,15.50512,0.014675
10000584,587726013995417675,180.56164024,1.51720431,STAR,17.160517,0.020378,16.274599,0.019805,16.049192,0.013148,15.925687,0.019064,15.926452,0.024515
10000397,587725075529007219,139.36481945,0.47902865,STAR,17.802586,0.020328,16.824572,0.015908,16.520552,0.011342,16.396288,0.010873,16.347076,0.01177
10000352,587728879256535077,131.24287043,2.2579089,STAR,17.09951,0.014521,16.098661,0.011288,15.722355,0.014355,15.576684,0.011538,15.50512,0.014675
10000375,588848899358458011,140.45834217,-0.53441507,STAR,17.740383,0.021413,16.88936,0.011625,16.630728,0.018522,16.518984,0.01413,16.507336,0.012799
10000375,588848899358458011,140.45834217,-0.53441507,STAR,17.740383,0.021413,16.88936,0.011625,16.630728,0.018522,16.518984,0.01413,16.507336,0.012799
10000002,587726032227729466,132.40498322,1.18542495,STAR,17.197002,0.016263,16.22706,0.016338,15.906044,0.015863,15.770473,0.018598,15.737238,0.021699
10000110,587748930315485210,182.44916661,0.97857147,STAR,17.318645,0.029049,16.438793,0.017961,16.157267,0.016498,16.117012,0.015867,16.035467,0.016229
