name,objID,ra,dec,type,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z
10000622,587724650328883326,175.75088006,-1.80039154,STAR,18.310631,0.020485,17.263266,0.015411,16.945004,0.01621,16.84009,0.014175,16.810266,0.018137
10000352,587728879256535077,131.24287043,2.2579089,STAR,17.09951,0.014521,16.098661,0.011288,15.722355,0.014355,15.576684,0.011538,15.50512,0.014675
10000397,587725075529007219,139.36481945,0.47902865,STAR,17.802586,0.020328,16.824572,0.015908,16.520552,0.011342,16.396288,0.010873,16.347076,0.01177
10000375,588848899358458011,140.45834217,-0.53441507,STAR,17.740383,0.021413,16.88936,0.011625,16.630728,0.018522,16.518984,0.01413,16.507336,0.012799
10000375,588848899358458011,140.45834217,-0.53441507,STAR,17.740383,0.021413,16.88936,0.011625,16.630728,0.018522,16.518984,0.01413,16.507336,0.012799
